Article Title,Author,Journal Title,Publication Date,Publisher,Subjects,Keywords,text
China–Cameroon relations: Fortunes and limits of an old political complicity.,"Cabestan, Jean-Pierre",South African Journal of International Affairs,15-Mar,Taylor & Francis Ltd,INTERNATIONAL relations; POLITICAL stability; ECONOMIC development; INFRASTRUCTURE (Economics); INTERNATIONAL economic relations; CAMEROON; CHINA,Cameroon foreign policy; Cameroon–China relations; Cameroon–China trade relations; Paul Biya,"Since the 1990s, the Sino-Cameroonian relationship has grown rapidly. Today, China plays a key role in Cameroon's economic development, particularly in regards to infrastructure projects. However, in the last few years, Yaoundé's partnership with Beijing has encountered an increasing number of obstacles. Behind the warm pro-China rhetoric, the Cameroonian government has become more willing to rebalance their country's external relations, in favour of both its traditional partners and other emerging economies. [ABSTRACT FROM AUTHOR] Copyright of South African Journal of International Affairs is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
"China–CEE Trade, Investment and Politics.","Matura, Tamas",Europe-Asia Studies,19-Apr,Taylor & Francis Ltd,INTERNATIONAL trade; INTERNATIONAL economic relations; COOPERATION; POLITICAL science; INVESTMENTS,,"The growing and intensifying cooperation between China and 16 Central and Eastern European (CEE) countries has generated extensive criticism by and concerns among EU institutions and Western European member states of the Union. According to diplomatic presumptions, China aims to gain political leverage in exchange for economic benefits in the EU through its CEE members. The following article attempts to evaluate the correlation between the quality of bilateral political relations and economic relations of China and CEE countries in order to draw conclusions on the importance or, on the contrary, the irrelevance of Chinese activity in the region. [ABSTRACT FROM AUTHOR] Copyright of Europe-Asia Studies is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
CHINA-PAK ECONOMIC CORRIDOR: SOCIAL ANALYSIS FOR PAKISTAN.,"Avais, Muhammad Abdullah; Shaikh, Saima; Mahesar, Hakim Ali; Memon, Fehmida",Government: Research Journal of Political Science,2016,"University of Sindh, Jamshoro, Pakistan, Department of Political Science",INTERNATIONAL economic integration; INTERNATIONAL economic relations; PAKISTAN; CHINA -- Foreign economic relations,Economic Corridor (EC); Friendship; History; Pak-China Relations; Social benefits,"In this millennium Economic Corridors (ECs) are lynch excels for the development of any country. As compared to other countries, China is more reliable and all weather partner of Pakistan without any interference. Over the years, both the countries have developed strong bilateral trade and economic collaboration. Economic Corridor from Gwadar to Kashgar through rail and road connections would be the great source of change and development in the region. Furthermore, it will provide the best and the shortest supply route to China as well as land locked countries of the central Asia. CPEC provides a unique opportunity for Pakistan to bolster its strategic and economic position coupled with many social benefits. It could also serve equally to Pak-China interests. This research is explanatory research therefore, secondary data from different sources: that was available but needed to be explained is being utilized. The main aim of the research is to analyze the benefits of Economic corridor and formulate suggestions for its betterment. Tax free industrial states may cater more foreign investors around the economic corridor. This connectivity project is expected to generate millions of direct and indirect jobs. Similarly, local people must be involved in economic benefits of EC for long term achievements of project goals. [ABSTRACT FROM AUTHOR] Copyright of Government: Research Journal of Political Science is the property of University of Sindh, Jamshoro, Pakistan, Department of Political Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
China-Russia Relations: Reset under Medvedev: Zapad-Politik and Vostok 2010.,Yu Bin,Comparative Connections: A Triannual E-Journal on East Asian Bilateral Relations,10-Jul,Center for Strategic & International Studies,INTERNATIONAL relations; RIOTS; VIOLENCE; CHINA; RUSSIA,,"The article discusses the relationship between China and Russia as of the second quarter of 2010. Riots and violence in Kyrgyzstan led to the ouster of the Bakiyev government in April 2010. The U.S.-sponsored United Nations Security Council (UNSC) sanctions against Iran was supported by Russia and China, with varying degrees of reluctance. A shift toward Europe and the U.S. was seen in Russia's foreign policy. Russia's Zapad-Politik, also known as Westpolitik, has established strategic partnership with China."
China's ‘charm offensive’ in the Pacific and Australia's regional order.,"Hameiri, Shahar",Pacific Review,15-Dec,Taylor & Francis Ltd,INTERNATIONAL economic assistance; GOVERNMENT policy; INTERNATIONAL relations; ISLANDS of the Pacific; PACIFIC States; CHINA -- Foreign relations; AUSTRALIA -- Foreign relations,Australian aid and foreign policy; Chinese aid in the Pacific Islands; Pacific Islands Region; Politics of aid,"In recent years, a perception has emerged among many policymakers and commentators that the deepening of the People's Republic of China engagement in the Pacific Islands Region, predominantly through its expanding foreign aid programme, threatens to undermine the existing regional order, in which Australia is dominant. In this article, it is argued that China's apparent ‘charm offensive’ in the Pacific is mainly driven by commercial, not political, imperatives and is far more fragmented and incoherent than is often assumed. Hence, its (real) political effects hinge, not on any Chinese strategic designs for regional domination, or even a more limited resource security agenda, but on the intent and capacity of Pacific governments to harness deepening aid, investment and trade relations with China towards their own foreign and domestic policy objectives, which include limiting Australian interference in the internal governance processes of Pacific states. This argument is demonstrated by the case of Fiji after the December 2006 military coup. [ABSTRACT FROM PUBLISHER] Copyright of Pacific Review is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
China's Air Force Foreign Relations Program and Implications for Interaction with the U.S. Air Force.,"ALLEN, KENNETH",FAOA Journal of International Affairs,Winter2014,Foreign Area Officer Association,MILITARY relations; INTERNATIONAL relations; CHINA. Kong jun; UNITED States. Air Force; CHINA-United States relations,,The article discusses the foreign relations program of China's Air Force. The program of the People's Liberation Army Air Force (PLAAF) is a component of the foreign relations effort of the Chinese government. The channels of interaction of the PLAAF with the international community and foreign militaries are mentioned. The limited military relationship of the PLAAF and the U.S. Air Force and the and the implications of the program for interaction with the American force are given.
China's Anti-Access Strategy and Regional Contingencies: Implications for East Asian and Korean Security.,Taeho Kim,Korean Journal of Defense Analysis,12-Sep,Korea Institute for Defense Analyses,NATIONAL security; MILITARY technology; MILITARY modernization (Equipment); INTERNATIONAL relations; CHINA. Zhongguo ren min jie fang jun,"""anti-access"" strategy; China's ""military rise""; Russian weapons and military technologies; the Korean peninsula; the South China Sea; the Taiwan Strait","While China's new military capabilities are an issue of growing importance to regional security, it should be understood that they are very much a work in progress. It is also important to note that it is not China's military modernization per se, but its ability to project and sustain power along and beyond its borders--in particular, the possibility to resolve forcefully its outstanding maritime disputes and various contingencies in the region. This article argues that China's ""anti-access capability""--a U.S.-coined term originally developed for a Taiwan crisis--is equally applicable to other major regional cases such as the Spratly disputes and a North Korean contingency. Furthermore, notwithstanding China's continuous efforts to develop and deploy various types and classes of weapons/platforms, it is the Russian systems and technologies that are most capable and thus assigned to the highest mission-critical areas. In assessing China's current and likely future military capabilities as well as their implications for the region, it is necessary to take note of the following: It is very important not to ""overestimate"" or ""underestimate"" China's actual military capability, as war is most likely when China overestimates and others underestimate the PLA's capability. China's military not only employs mixed defense strategies but it also possesses both new and old (in fact, very old) military technologies. Its more than a dozen sources of foreign technologies are a nightmare for system integration and interoperability. There exists asymmetry of military capability between China and its weaker neighbors. While the PLAN is weak in several important aspects, many of its neighbors' navies are weaker still. Some have argued that China's foreign policy behavior apparently became more ""assertive"" in 2009-2012, but it is wiser to keep in mind that China has always been assertive and aggressive when it comes to what it defines as ""sovereignty and territorial issues"" as well as its newest ""core interest."" For Korean security it is imperative to take into account the geostrategic and historical factors. On top of the existing military threats from North Korea, the ROK should be able to employ a) a hedging strategy, b) ""limited defense sufficiency"" strategy, and c) rock-solid relations with the United States. [ABSTRACT FROM AUTHOR] Copyright of Korean Journal of Defense Analysis is the property of Korea Institute for Defense Analyses and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
China's Approach to BRICS.,"Cheng, Joseph Y.S.",Journal of Contemporary China,15-Mar,Taylor & Francis Ltd,POLITICAL realism; POWER (Social sciences); INTERNATIONAL relations; GLOBALIZATION; INTERNATIONAL trade; INTERNATIONAL cooperation; INTERNATIONAL organization; MODERNIZATION (Social science); ECONOMICS; GOVERNMENT policy; BRICS countries; CHINA -- Politics & government -- 2002-; CHINA -- Foreign relations -- 1976-,,"The economic rise of the BRICS (Brazil, Russia, India, China and South Africa) inevitably leads to a redistribution of power in the international system. Chinese leaders today accord a considerable priority to this group, and there are elements of realism, liberalism/institutionalism and constructivism in their approach. This article intends to study China's policy towards BRICS and examine the above elements so as to better understand how the Chinese leadership perceives China's role in the international system, and how it seeks to articulate its interests and enhance its influence. [ABSTRACT FROM AUTHOR] Copyright of Journal of Contemporary China is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
"China's Belt and Road Initiative Extension to Central and Eastern European Countries - Sixteen Nations, Five Summits, Many Challenges.","Musabelliu, Marsela",Croatian International Relations Review,17-Aug,Institut za Medunarodne Odnose,INTERNATIONAL economic relations; SOCIALISM; CHINA; CHINA -- Politics & government,Belt and Road Initiative; CEEC; challenges; China; economic cooperation,"The Belt and Road Initiative proclaimed by President Xi in 2013, a strategy developed by the Chinese government, is very important to China but is not confined to China. In order for the initiative to be successful it needs to be embraced by the countries on the terrestrial and maritime route indicated in the plan. In the late 1980s Deng Xiaoping proposed to integrate Socialism with Chinese Characteristics (Zhongguo Tese Shehui Zhuyi,中国特色社会主义) into global capitalism and in the 1990s the Jiang Zemin leadership initiated the Going out policy (Zouchuqu Zhanlue, 走出去战略) - the current Belt and Road Initiative is China's continuation in implementing those policies into actual deeds. China's accession to WTO in 2001 marked China's full integration into the global economy and since then the People's Republic of China (PRC) has become the largest trading partner for more than 180 countries. The Xi-Li administration has been extremely proactive since it was established in 2012; from that year on, Chinese behavior in international affairs has gained an ever-growing role as a forger of economic and diplomatic ties between countries. The primary example of this behavior is the Belt and Road Initiative (BRI). As every serious foreign policy plan, the BRI is an accumulation of various other initiatives. For example, the cooperation mechanism ""16+1"", with which the PRC has approached Central and Eastern European Countries (CEEC), can be integrated under the BRI. This paper analizes the ""16+1"" China-CEEC cooperation mechanism in the context of the bigger BRI initiative, and tries to comprehend the economic and political factors intertwined with its implementation. [ABSTRACT FROM AUTHOR] Copyright of Croatian International Relations Review is the property of Institut za Medunarodne Odnose and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
China's Belt and Road Initiative: The Push for Economic Globalisation.,"YU, Hong",East Asian Policy,17-Jul,World Scientific Publishing Company,GLOBALIZATION; ECONOMIC development; POPULISM; INTERNATIONAL economic relations; CHINA; CHINA -- Politics & government,,"There is growing resentment towards globalisation in the West. The Chinese leadership has leveraged on the various international platforms to promote China's approach to global economic development. Promotion of its 'Belt and Road' initiative overseas marks China's attempt to put its own stamp on globalisation. Nevertheless, China still has much to do domestically in promoting the open economy at home before it could be a credible leader of economic globalisation. [ABSTRACT FROM AUTHOR] Copyright of East Asian Policy is the property of World Scientific Publishing Company and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
"China's Contemporary Political Leadership, Foreign Policy, and Their Chineseness.","Shi, Yinhong",East Asia: An International Quarterly,11-Sep,Springer Nature,POLITICAL leadership; PARADOX; EQUALITY; NATIONALISM; ECONOMIC reform; ECONOMIC development; IDEOLOGY; INTERNATIONAL relations; CHINA; CHINA -- Politics & government -- 1949-; CHINA -- Foreign relations; CHINA -- Foreign relations -- 1949-; CHINESE national characteristics; CHINESE history; CHINESE cosmology; CHINESE ethics,China; China's foreign policy; China's political leadership; Chineseness; Contemporary China; International responsibility; Peaceful rise,"There have been several profound features embedded in the contemporary Chinese political leadership, all having their roots in the Chinese centuries-long traditions or the modern/contemporary creative practice, together with their shaping impacts upon China's foreign policy or remarkable reflections in her external behavior. They are: reforms inherently differentiated; central idea of 'maintenance', notion of 'biological circle governing universe', paradox in the question of equality, the emphasis on morality, overwhelmingly domestic function of foreign policy, firm belief in the Chineseness per sue and its overwhelming importance, and political prudence in the perennial context of 'Strong China, Weak China.' China is facing enormous domestic historical challenges and substantial international pressure, while a generally peaceful China can be assured at least from her self-regarding realistic perspective. [ABSTRACT FROM AUTHOR] Copyright of East Asia: An International Quarterly is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
China's Core Interests and Dilemma in Foreign Policy Practice.,"Zhou, Jinghao",Pacific Focus,19-Apr,Wiley-Blackwell,"INTERNATIONAL relations; POLITICAL science; CHINESE Communist Party; ASIAN Infrastructure Investment Bank; XI, Jinping, 1953-",China–US relations; China's core interests; Chinese foreign policy; Chinese politics,"Although the term ""China's core interests"" appeared in Chinese media in the early 2000s, the notion of China's core interests has recently become the principle of Chinese foreign policy as part of the China Dream under the Xi Jinping administration. Guided by the principle of China's core interests, has China achieved expected results of the foreign policy practice? The recent development of China's relations with the international society, especially with the West, does not support a positive answer. Questions raised here are: If China continues to stick with the principle of China's core interests, how does China play it out in dealing with international relations? Is it necessary for China to reinterpret its core interests in its foreign policy practice in order to better serve the win–win cooperation within the liberal international order? This paper will address these questions by examining the relationship between the notion of China's core interests and its foreign policy practice, and argue that China could worsen its foreign relations if it were to overemphasize the principle of China's core interests in foreign policy practice. China should revisit the notion of its core interests and modify it in order to handle serious challenges from the international society. [ABSTRACT FROM AUTHOR] Copyright of Pacific Focus is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
China's Currency Manipulation.,"Navarro, Peter",World Affairs,Sep/Oct2012,Sage Publications Inc.,MONETARY policy; INTERNATIONAL economic relations; FOREIGN exchange market; FREE trade; ECONOMIC competition; PRICE regulation; FOREIGN trade regulation; SUBSIDIES -- Law & legislation; PUBLIC debts; CHINA; UNITED States; CHINESE Communist Party; WORLD Trade Organization; MARKET manipulation; CHINA-United States relations; RENMINBI,,"The article discusses foreign economic relations and competition between the U.S. and China as of October 2012, with a focus on commercial policies in China under the Chinese Communist Party after China joined the World Trade Organization (WTO) for free trade in 2001. Topics include the Chinese government's policy of manipulating the currency for price regulation; allegations of illegal subsidies and trade practices by Chinese officials; and economists' estimations of the real value of the Chinese yuan. U.S. government debt owed to China and the effects of Chinese trade practices on U.S. unemployment is also discussed."
China's Debate on the Middle East and North Africa: A Critical Review.,"Fardella, Enrico",Mediterranean Quarterly,15-Mar,Duke University Press,NATIONAL security; INTERNATIONAL conflict; INTERNATIONAL relations; GOVERNMENT policy; CHINA; CHINA -- Foreign relations,,"The article looks into the impact of tension in the Mediterranean region on the security of China. Topics include the instability in the West Asia-North Africa (WANA) region due to conflicts in Libya, Syria, and Iraq, the New Silk Road initiative of China, and the role of WANA in Chinese foreign policy. It also discusses the importance of the WANA region in the security and foreign policies of China."
China's Discourse on Regionalism: What it Means for India.,"Bhattacharya, Abanti",Asia-Pacific Review,10-May,Taylor & Francis Ltd,REGIONALISM; BIPOLARITY (International relations); INTERNATIONAL relations; REALPOLITIK; POLITICAL science; CHINA,,"China's approach towards regionalism and multilateralism is essentially driven by realpolitik paradigm. More specifically, China's tilt towards regionalism has been propelled by three reasons: one its own rise, two its domestic concerns and three change in the world-order in the aftermath of the collapse of bipolarism and the resultant emergence of new threats and insecurities. Regionalism in Chinese discourse is rooted primarily in the quest for building a China-led regional order, supporting China's peripheral diplomacy and grand strategy, than on mere rationale of economic gains. Therefore, in Chinese conceptualization realpolitik issues hold primacy over normative and liberal notions of interdependence. The web of regional security architecture, thus, evolved serves essentially China's security needs and grand strategy. [ABSTRACT FROM AUTHOR] Copyright of Asia-Pacific Review is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
China's Economic Leverage in Southeast Asia.,"Lee, John",Journal of East Asian Affairs,Spring/Summer2015,Institute for National Security Strategy,ECONOMIC development; INTERNATIONAL economic relations; ECONOMIC policy; CHINA; ASIA -- Politics & government; CHINA -- Foreign relations -- Southeast Asia; TWENTY-first century,Asian economic development; regional trade; Sino-Southeast Asia relations,"The popular perception that China stands poised to supplant America as the most important economic partner of key countries in Southeast Asia has led to speculation about a deepening and widening divergence between the security interests and preferences for Southeast Asian countries (for American strategic pre-eminence) versus forced reliance on China as the economic driver of growth. Yet, despite its economic size and assumed importance, Beijing has not been able to alter the strategic alignment of even one significant power in Southeast Asia. In fact, every significant trading power in the region has moved closer to America in strategic and military terms even as their trading relationships continue to deepen with China. The article seeks to offer some explanation for China's incapacity to translate its supposed economic clout and importance into strategic leverage at America's expense. Analysis of the economic relationship between China and key Southeast Asian countries reveals that these economic partners are not as dependent on the Chinese economy as rising trade numbers suggest. Indeed, one should not overestimate the role of China in driving prosperity in the region, or assume that China has emerged as the primary driver of prosperity in the region. In reality, advanced economies and firms from those economies such as America's remain far more important to major Southeast Asian countries than does the Chinese economy and Chinese firms. Such a situation is likely to persist into the foreseeable future, meaning that America's economic capacity to seduce Southeast Asian governments and firms will remain robust and possibly even decisive. [ABSTRACT FROM AUTHOR] Copyright of Journal of East Asian Affairs is the property of Institute for National Security Strategy and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
China's Emerging Global Role: Dissatisfied Responsible Great Power SHAUN BRESLIN CHINA'S GLOBAL ROLE.,"Breslin, Shaun",Politics,Dec2010 Supplement,Sage Publications Inc.,"INTERNATIONAL relations; BALANCE of power; ECONOMIC development; GREAT powers (International relations); POLITICAL stability; WORLD politics; SOCIAL power; COMMUNISM; INTERNATIONAL competition; CHINA; UNITED Nations. Security Council; UNITED Nations; ASEAN; CHINA -- Foreign relations -- 1976-; WESTERN countries; GLOBAL Financial Crisis, 2008-2009; DENG, Xiaoping, 1904-1997",,"China has (re-)emerged as a great power in a world not of its own making. The distribution of power in major organisations and the dominant norms of international interactions are deemed to favour unfairly the existing Western powers, and at times obstruct China's ability to meet national development goals. Nevertheless, engaging the global economy has been a key source of economic growth (thus helping to maintain regime stability), and establishing China's credentials as a responsible global actor is seen as a means of ensuring continued access to what China needs. As an emerging great power which is also still in many respects a developing country, China's challenge is to change the global order in ways that do not cause global instability or generate crises that would damage China's own ability to generate economic growth and ensure political stability. [ABSTRACT FROM AUTHOR] Copyright of Politics is the property of Sage Publications Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
China's Exceptionalism and the Challenges of Delivering Difference in Africa.,"Alden, Chris; Large, Daniel",Journal of Contemporary China,11-Jan,Taylor & Francis Ltd,EXCEPTIONALISM (Political science); INTERNATIONAL relations; INTERNATIONAL economic relations; POLITICAL doctrines; STATE power; DIPLOMACY; NATIONAL characteristics; IMPERIALISM; CHINA; AFRICA; RESEARCH; CHINA -- Foreign relations; AFRICA -- Foreign relations; INTERNATIONAL cooperation on equality; CROSS-cultural studies,,"This article explores the notion of 'China's exceptionalism' in Africa, a prominent feature in Beijing's current continental and bilateral engagement. 'China's exceptionalism' is understood as a normative modality of engagement that seeks to structure relations such that, though they may remain asymmetrical in economic content they are nonetheless characterised as equal in terms of recognition of economic gains and political standing (mutual respect and political equality). This article considers the burden that the central Chinese government has assumed through its self-construction and mobilisation of a position of exceptionalism and, concurrently, the imperatives that flow from such rhetorical claims of distinctiveness in terms of demonstrating and delivering difference as a means to sustain the unity and coherence of these rhetorical commitments. [ABSTRACT FROM AUTHOR] Copyright of Journal of Contemporary China is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
China's Foreign Strategy After the 18th Party Congress: Business as Usual?,"Noesselt, Nele",Journal of Chinese Political Science,15-Mar,Springer Nature,"INTERNATIONAL relations; POLITICAL leadership; POLITICIANS; CHINA; CHINA -- Politics & government -- 2002-; ECONOMIC conditions in China, 2000-",18th Party Congress; China; Fifth Generation; Foreign Policy; Leadership Change; National People's Congress,"Chinese foreign policy is still an undertheorized domain of international relations studies. One puzzle that preoccupies international observers is the impact of leadership changes on Chinese foreign behavior. Based on an in-depth reading of official statements made by China's new political leaders and their first actions in office this paper analyses continuity and change in China's foreign strategy. Following a combined multidimensional analytical approach the evaluation focuses on the interrelation between indigenous (leadership changes, subsystemic challenges) and exogenous factors (global crises, critical junctures) on the modeling of China's international strategy. My main conclusion is that shifts and role changes in Chinese foreign policy should not be misread as the outcome of the latest leadership transition. Most 'changes' that are now associated with the fifth generation have originally been introduced by their political ancestors. As a context-sensitive, historical-reflectivist analysis shows, China's 'new' approach to world affairs stands for a continuing, incremental adaptation of the PRC to socio-economic evolutions on the domestic and the global level. [ABSTRACT FROM AUTHOR] Copyright of Journal of Chinese Political Science is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
China's Future in a Multinodal World Order.,"Womack, Brantly",Pacific Affairs,14-Jun,Pacific Affairs,"POWER (Social sciences); INTERNATIONAL relations; POLITICAL stability; ECONOMIC stabilization; GLOBALIZATION; GROSS domestic product; SOVEREIGNTY; CHINA; ECONOMIC conditions in China, 2000-",asymmetry; China; demographic power; globalization; multinodal; multipolar,"Over the next twenty years China is likely to become the world's largest national economy, though not home to the richest one-fifth of the world's population. Chinese demographic power will be qualitatively different from American technological power despite bottom-line similarities in GNP, and China will face challenges of political and economic sustainability. Assuming that globalization, constrained state sovereignty and demographic revolution continue as basic world trends, the world order is likely to be one in which concerns about conflicts of interests drive interactions, but no state or group of states is capable of benefitting from unilaterally enforcing its will against the rest. Thus, there is no set of ""poles"" whose competition or cooperation determines the world order, despite the differences of exposure created by disparities in capacity. Although the United States and China will be the primary state actors and their relationship will contain elements of rivalry as well as cooperation, the prerequisites of Cold War bipolarity no longer exist. Rather, the order would be best described as ""multinodal,"" a matrix of interacting, unequal units that pursue their own interests within a stable array of national units and an increasing routinization of international regimes and interpenetrating transnational connections. [ABSTRACT FROM AUTHOR] Copyright of Pacific Affairs is the property of Pacific Affairs and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
"China's Gulf Policy: Existing Theories, New Perspectives.","Legrenzi, Matteo; Lawson, Fred H.",Middle East Policy,Summer2015,Wiley-Blackwell,"INTERNATIONAL relations; PERSIAN Gulf States; CHINA -- Foreign relations; SHICHOR, Yitzhak; BEHBEHANI, Hashim; CALABRESE, John",,"The article focuses on People's Republic of China (PRC) and discusses its policy dealings with the Middle East including Arab Gulf states and Iran. It states China's strategies prior to 1979, the construction of oil and gas pipelines from China to iran, China's energy securities, and how it effects Iranian relationship. Further it cites the writings of Yitzhak Shichor, Hashim Behbehani, and John Calabrese which elaborates Chinese relationships with Gulf nations."
China's Influence on Asian States during the Creation of the U.N. Human Rights Council: 2005-2007.,"FOOT, ROSEMARY; SIU INBODEN, RANA",Asian Survey,Sep/Oct2014,University of California Press,POWER (Social sciences); INTERNATIONAL relations; WORLD politics; UNITED Nations Human Rights Council; CHINA -- Politics & government -- 2002-,Asian state members; China; Human Rights Council; influence; institutional design,"The negotiations to create the U.N. Human Rights Council provided the Chinese government with opportunities to influence the design of the new body. China was unable to gain the necessary support to restrict the introduction of country-specific resolutions, but it received much support elsewhere without needing to use either coercion or inducement. [ABSTRACT FROM AUTHOR] Copyright of Asian Survey is the property of University of California Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
China's Market Influence in North Korea.,"REILLY, JAMES",Asian Survey,Sep/Oct2014,University of California Press,INTERNATIONAL trade; ECONOMIC reform; INTERNATIONAL cooperation; INTERNATIONAL economic relations; NORTH Korea; CHINA -- Foreign economic relations,China; economic reforms; influence; North Korea,"North Korea's deepening economic interactions with China have encouraged the former's localized trends toward a more market-oriented and externally engaged society. This article compares China's engagement strategy to South Korea's ""Sunshine Policy"" and then assesses China's transformational influence on North Korean institutions, cross-border cooperation, businesspeople, and consumers. [ABSTRACT FROM AUTHOR] Copyright of Asian Survey is the property of University of California Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
China's Military Mercantilism.,"Johnston, Christopher Bowen",Parameters: U.S. Army War College,Winter2014/2015,U.S. Army War College,MILITARY policy; MERCANTILE system; INTERNATIONAL relations; ARMED Forces; INTERNATIONAL organization; NATIONALISM; CHINA,,"The People's Republic is a great power in search of a grand strategy. China's maritime adventurism reflects the fragmentation of foreign policy, and the coupling of commercial interests with military force. Without effective statecraft, PLA planning could all too easily become national policy. Creative US initiatives would help to salve historical grievances and reconcile China's disruptive ambitions with the world order. [ABSTRACT FROM AUTHOR] Copyright of Parameters: U.S. Army War College is the property of U.S. Army War College and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
