Article Title,Author,Journal Title,Publisher,Subjects,Keywords,text
Narrating China's belt and road initiative.,"Zeng, Jinghan",Global Policy,Wiley-Blackwell,"JIANGSU Sheng (China); CHINESE Communist Party; ROADS -- China; CHINA -- Foreign economic relations; XI, Jinping, 1953-",,"This article studies the formation process of China's belt and road initiative (BRI) – the most important Chinese foreign policy initiative under Xi Jinping. It argues that the BRI was put forward as a broad policy idea that was subsequently developed with relatively concrete content. During this process, the shifting international landscapes have gradually driven the BRI from a periphery strategy into a global initiative. By examining the case of Jiangsu Province, this article also shows how Chinese local governments have actively deployed their preferred narratives to influence and (re‐)interpret the BRI guidelines of the central government in order to advance their own interests. As a result, this produces a variety of competing, ambiguous and contradictory policy narratives of the BRI within China, which undermines the Chinese central government's monopoly on the BRI narratives. This leaves the BRI as a very vague and broad policy slogan that is subject to change and open to interpretation. In this regard, the existing analyses – that consider the BRI as Beijing's masterplan to achieve its geopolitical goals – pay insufficient attention to the BRI's domestic contestation and overstate the BRI's geopolitical implications. Even when it comes to significant national projects, such as the BRI, which are associated with the top leader Xi Jinping's personal authority and introduced into the Chinese Communist Party's constitution, Beijing's central agencies are often not fully capable of coordinating political actors within China and producing one unified official Chinese narrative."
Narrative stories in Chinese characters: political framing of ageing and welfare reform in China.,"Van Gerven, Minna",Policy & Society,Taylor & Francis Ltd,PUBLIC welfare; SOCIAL responsibility; LEGITIMATION (Sociology); WELL-being -- Religious aspects; ORGANIZATIONAL performance,ageing; China; framing; health; inequality; long-term care; narratives; welfare reform,"This article analyses narrative stories used by the Chinese government to connect the problem of population ageing to welfare reform. The findings derived from semi-structural interviews and key policy documents suggest the unfolding of the narrative stories of power and stories of rising and stories of decline. The narrative stories in the developmental Chinese welfare state are diverse and stem from different processes than those for the mature European welfare states. The Narrative stories also vary for different policy areas. For inequality and health-care policies, under the master narrative of story of power, state depicts 'stories of giving-to-give' to support expansion in the traditional 'old risk' type of policies to main population, including the elderly. For long-term care, the power narrative of 'giving-to-shape' legitimizes the expansionary reforms for a small group of deserving frail elderly. Behind this political framing of long-term care reform lies the story of decline that justifies the modest role of state provision in the organization of long-term care and leaves the responsibility for economic, social and spiritual wellbeing for the society itself. The story of decline in China also gravitates around sustainability of societies rather than around financial sustainability commonly underlining the political debate in the West."
"Nation, Migration, Identity: Learning from the Cross‐Strait Context.","Momesso, Lara; Lee, Chun‐yi",International Migration,Wiley-Blackwell,TRANSNATIONALISM; INTERNATIONAL marriage; GLOBALIZATION; SOVEREIGNTY; NATIONALISM; CHINA-Taiwan relations; CHINESE -- Migrations,,"It has been argued that globalization, with its flexible landscapes of production, consumption and mobility, has favoured the emergence of new forms of belonging that are not necessarily built on such principles of the nation state. In this article, we argue that this process is more likely to happen when movements occur between states that are not in conflictual relations with each other. When the relations between two nations are shaped by conflicts, for instance due to disputes about sovereignty over a territory, nationalism may remain a crucial factor shaping the identification and belonging of those who move between the two territories. In this article, by looking at the case of migrants moving between China and Taiwan, we will shed light on how the issue of ""unresolved sovereignty"" may eventually lead these actors to reinforce nationalist ideals and identities in their daily narratives, instead of favouring the generation of hybrid identities."
"National development through global production networks? The case of Dongguan, China.","Rolf, Steven",Political Geography,Elsevier B.V.,ECONOMICS; SOCIAL order; FOREIGN investments; NATION-state; CHINA; DONGGUAN Shi (China); GLOBAL production networks; MANUFACTURING processes,,"The wide-ranging implications of globalised production networks (GPNs) for national varieties of capitalism are only now beginning to be broached by political economists and human geographers. As production processes increasingly striate national political territories, an area in need of further research is the impact of GPNs on developing economies' state architectures — which have historically utilised state-owned or state-directed industries in pursuit of national development projects. The advent of GPNs radically altered the possibilities for such strategies by apparently undermining the ability of developing states to develop national champions — large, vertically integrated firms either nationally owned if not subject to great levels of state control. Does the preponderance of transnational production networks, SMEs, foreign direct investment, and export processing zones entail an end to the significance of national states and politics for development trajectories? Experience suggests otherwise, and a literature is beginning to theorise various forms by which statehood, sovereignty and politics continue to shape GPN-organised manufacturing. The reciprocal interactivity of networks and institutions remains in need of further research, however. This article probes these questions with reference to a detailed case study of the developmental experience of Dongguan city in China between 1978 and 2008. In this period, Dongguan (a major export manufacturing hub on the southern coast) came to the forefront of China's national strategy of export-led industrialisation — but simultaneously crystallised the rise of fragmented production. The city's industrialisation was governed by this contradictory dynamic – on the one hand, GPN-integration transformed its social and political order, while subsequent interventions by the provincial and national states aimed to envelop the city in the institutional framework of China's political economy."
"National identification and intergroup attitudes of Chinese youth towards Americans, Japanese, and South Koreans.","Dai, Qian; Chu, Rong-Xuan",National Identities,Taylor & Francis Ltd,NATIONALISM; SOCIAL attitudes; CHINESE; UNITED States -- Foreign public opinion; JAPAN -- Foreign public opinion,Americans; Chinese youth; intergroup attitudes; Japanese; Koreans; National identification,"The study explored the strength of national identification and intergroup attitudes of Chinese youth (n = 591, aged 12-15) toward the Chinese, the Americans, the Japanese, and the South Koreans. The participants were asked to fill in a questionnaire and write down reasons why they 'like' or 'dislike' the four groups. The results showed a consistency in in-group favoritism. Gender and age were both related to Chinese youths' national identifications and their national intergroup attitudes. Confucian ethics, media influence and historical complex were identified as main factors that may contribute to their attitudes toward the four groups."
Nationalism vs. Interests: A Neoclassical Realist Perspective on Japan's Policy towards China under the Second Abe Administration.,"Zakowski, Karol",Pacific Focus,Wiley-Blackwell,"NATIONALISM; INTERNATIONAL relations; PRIME ministers; IDEOLOGICAL conflict; CHINA; JAPAN; ABE, Shinzo, 1954-",Abe Shinzō; China; Foreign policy; International relations; Japan; Nationalism; Neoclassical realism,"The aim of this article is to analyze the influence of Prime Minister Abe Shinzō's nationalist stance on Japan's policy towards China from a neoclassical realist perspective. It is argued that the extent to which Abe's ideological leaning exerted impact on foreign policy making depended on external stimuli, as well as Abe's domestic political interests. Prime Minister Abe generally perceived China as a threat to Japan, and remained assertive towards it, but he also pragmatically displayed flexibility in such areas as history issues, security policy, and territorial dispute. This article analyzes these complex developments in light of the changes in international environment and domestic politics, examining three periods: Abe's first administration (2006–2007); the escalation of diplomatic disputes with China (2012–2014); and gradual rapprochement with China (since 2014). It is concluded that the nationalist beliefs of decision makers affect foreign policy to the greatest extent whenever they are in line with other kinds of variables, such as external pressures and domestic interests."
Navigating two Asias: how Washington deals with the Indo-Pacific's rising powers.,"White, Joshua T.",India Review,Taylor & Francis Ltd,GREAT powers (International relations); INDO-Pacific Region; CHINA-India relations; CHINA-United States relations; INDIA-United States relations,,"The United States has sought over the last two decades to facilitate India's rise as a means of balancing against China's ambitions. Notwithstanding the rich literature that has emerged on Sino-Indian dynamics and the U.S.-India-China triad, there has been remarkably little examination of the ways in which the United States navigates its relationships with these two rising powers. This study poses a simple question: to what extent has the United States' pursuit of its interests with India meant that it has accepted trade-offs with respect to its interests with China? Drawing on government documents, interviews with current and former U.S. officials, and an array of case studies between 2005 and early 2019, this study argues first that the U.S. bureaucracy has long been structured in such a way as to heavily compartment policy decision-making related to South Asia and East Asia, respectively, and to produce a pronounced but largely explicable structural bias toward East Asia; second, that relatively few policy matters have arisen since 2005 that have forced the United States to consider meaningful trade-offs between its India and China equities; and third, that new challenges may arise for Washington as its deals with an increasingly inter-connected Indo-Pacific region, and manages the bureaucratic and policy implications of its renewed emphasis on great power competition."
"Neither Fair nor Efficient, but More Elitist: Meritocracy in Chinese Petroleum Firms' Graduate Recruitment and Selection.","He, Yuan; Makarchev, Nikita",Journal of Contemporary China,Taylor & Francis Ltd,MERITOCRACY; PETROLEUM industry; ELITE (Social sciences); SOCIAL systems; CHINA; EMPLOYEE selection; EMPLOYEE recruitment,,"This paper examines the concept and practice of meritocracy in Chinese national oil corporations' (NOCs) graduate recruitment and selection. It focuses on the post-2008 NOC reform period, which sees NOCs place increasing rhetorical emphasis on meritocratic or 'fair' recruitment and selection. However, this paper argues that, in practice, these sentiments remain unrealized. The NOCs continue to use some sub-optimum applicant assessment measures and misuse or misunderstand the more optimum ones. Likewise, the prioritization of certain criteria, such as elite education, has merely advantaged graduates with strong Bourdieu capitals. Hence, this produces a flawed meritocracy that neither maximizes fairness nor efficiency, but strengthens elitism. Moreover, its capacity to serve political interests is questionable too. These insights, then, enhance existing academic debates over China's engagement with meritocracy."
"Neither for, nor against Mao: PCI-CCP interactions and the normalisation of Sino-Italian Relations, 1966–71.","Clivio, Carlotta",Cold War History,Taylor & Francis Ltd,INTERNATIONAL relations; SOVIET Union; PARTITO Comunista Italiano; CHINESE Communist Party; BUSINESS partnerships,China; East-West relations; Italy; Mao,"This paper explores the Italian Communist Party (PCI)'s interactions with the Chinese Communist Party (CCP) in the years immediately preceding the normalisation of Sino-Italian relations. The present work highlights three aspects of this dynamic: the PCI's rewriting of its identity as a foreign policy making actor independent of the US and the USSR, and neither dismissive nor laudatory of Mao; the PCI's establishment of partnerships with actors at home and abroad to allow for its China-policy blueprints to come to fruition; and the efforts of PCI-affiliated intellectuals toward making a rapprochement between the PCI and the CCP possible."
New Boundary Work of Rural Migrants: How It Opens Up New Potential Ways of Remaking Rural-Urban Symbolic Boundaries in China.,"Chew, Matthew M.",Chinese Sociological Review,Taylor & Francis Ltd,IMMIGRANTS; CHINA; BEIJING (China); PARTICIPANT observation,,"There are powerful symbolic boundaries in urban China that exclude rural migrants. This study identifies and analyzes the new boundary work that aims at remaking these rural-urban boundaries. Based on data on previous cohorts of rural migrants in China and elsewhere, current studies argue that the predominant type of boundary work is personal assimilation. I challenge this finding by documenting how the most recent cohort of young rural migrants develop a broad variety of ""normative inversion,"" ""reclassification,"" and ""universalistic blurring"" types of boundary work. Although this study does not conclusively prove that the new boundary work has already successfully remade rural-urban boundaries, it illustrates that new potential paths to remaking them are opened. Data were mainly collected between 2014 and 2017 through participant observation in dance clubs in Beijing and interviews with fifty-seven dance club service workers."
New development: China renews reform of central-local fiscal relations and provides for basic national public services.,"Chan, James L.",Public Money & Management,Taylor & Francis Ltd,POVERTY reduction; LOCAL government; FISCAL policy; REFORMS; CHINESE Communist Party,Basic national public services; central-local relations; fiscal reform; poverty alleviation in China,"China's reform on central-local fiscal reform has slowed down in recent years. The appointment of a new finance minister experienced in local government affairs is expected to renew the reform affirmed by the Chinese Communist Party (CCP) congress in late 2017. China has unprecedentedly identified a comprehensive list of 81 national basic public services as entitlements. Eighteen of them are subject to national and local standards, and co-financed by central and local governments. A new cost-sharing method for 10 of these services classifies sub-national jurisdictions into five tiers, in which the central government's share declines from 80% to 10%. These measures, effective in 2019, aim at creating a 'harmonious and moderately prosperous society'."
New development: China seeks better capital investment and credit assessment.,"Chan, James L.; Yang, Quanshe",Public Money & Management,Taylor & Francis Ltd,COST effectiveness; PUBLIC investments; CHINA; CREDIT analysis; CAPITAL investments; FINANCIAL institutions,Chinese institutional capacity building; credit rating agencies; government debt securities markets; public investment,"In the 2018–2019 period, the Chinese government adopted three policy measures to improve the quality of decision-making in state institutions and financial markets. The first measure requires cost benefit analysis in proposing public investment projects; the second requires local governments to make extensive disclosures before they could issue debt securities; and the third allows major international rating agencies to assess the creditworthiness of Chinese local government borrowers. Together, these steps represent China's steadfast expansion of institutional capacity and market efficiency. They are also evidence of China's continued adaptation of Western techniques in institutional capacity building to increase global competitiveness. In this article, the authors add to international understanding of how China improves the performance of its government and capital markets. For foreign policy-makers, especially those dealing with China directly, at the macro level this article points out the positive features of Chinese public policy-making and management, thus complementing or balancing the ideological and negative aspects often reported by the Western press. It points out that rational management is an almost invisible foundation supporting China's current ambitious domestic development and assertive foreign policy. At the micro level, this article seeks to arouse public management scholars' interest in Herbert Simon's concept of procedural rationality as an explanation of seemingly mindless bureaucratic process. Readers are encouraged to test the universality of the idea, which seems to operate in Chinese government. Since time immemorial Chinese officials search for 'latent rules' (qianguize) to ensure personal survival or get things done."
"New North‐Southeast Asia Security Links: Defending, Recentring, and Extending Regional Order.","Easley, Leif‐Eric; Kim, Sea Young",Australian Journal of Politics & History,Wiley-Blackwell,REGIONALISM (International organization); MARITIME law; INTERNATIONAL relations; VIETNAM; ASEAN; JAPAN -- Foreign relations; PHILIPPINES -- Foreign relations; CHINA -- Foreign relations; BURMA -- Foreign relations,,"The article discusses trends in regional security order in Asia. Topics covered include the maritime security policy of Japan with Vietnam and the Philippines, peace-building efforts of China at Burma, South Korea's cybersecurity contributions in the Association of Southeast Asian Nation (ASEAN) countries, the evolution of the regional economic order in East Asia and the United Nations Convention on the Law of the Sea (UNCLOS)."
NEW SILK ROAD DIPLOMACY: INDIA'S CHALLENGES AND RESPONSES.,"GAUR, Punit; ZHOLDASBEKOVA, Akbota",Central Asia & the Caucasus (14046091),CA & CC Press AB,TRADE routes; DIPLOMACY; SILK Road,Afghanistan; Central Asia; China; India; Kazakhstan; Silk Road,"The historical significance of the Silk Road as a network of several interlinked trade routes connecting Eastern Europe and Africa to South and East Asia, with intersections in the present-day Eurasia or Central Asia, is well established. For the last couple of decades (post-U.S.S.R. disintegration period), voices have been heard from all over the world calling for a revival of the ancient Silk Road with an aim of enhanced overland commercial cohesiveness in the region connected/covered by it. However, the continuous war in Afghanistan over the course of the last three decades and uncertainty in Central Asia have continuously rendered the idea of revival unviable, up until the present time. Efforts aimed at the revival of the Silk Road seem to be gaining a renewed momentum lately. It is important to note that the present-day major international powers have their own, distinct concepts of the revival of the Silk Road that seem to be moving ahead at varying paces, operating parallel to each other, if not exactly coinciding. With all the above inferences, India is still in the process of expanding the association, which would eventually lead to close engagement with major powers. In the rapidly changing geopolitical scenario, some of the most important challenges for India are the adverse economic effects of world economy and energy security along with geocultural relevance in the context of Islamic State and fundamentalism. In this context, this paper aims to elaborate India's challenges and responses for a new Silk Road diplomacy."
New Silk Road: implications for higher education in China and the West?,"Kirby, William; Wende, Marijk Van der","Cambridge Journal of Regions, Economy & Society",Oxford University Press / USA,GLOBALIZATION; INTERNATIONAL cooperation; ROADS -- China; SILK Road; HIGHER education,globalisation; higher education; New Silk Road,"Recent geopolitical events, such as Brexit and the retreat from multilateral trade and cooperation by the USA, have created waves of uncertainty, not the least in the field of higher education, regarding international cooperation. Meanwhile, China is publicly seeking to take the lead in globalisation, developing its higher education and research systems at speed and actively seeking to cooperate with academic partners along the New Silk Roads, to attract talent (back). But under which conditions, whose definitions and based on what values? And what, if any, difference will the ""New Silk Road"" make in the global educational landscape?"
New Silk Roads: an introduction to China's Belt and Road Initiative.,"Brakman, Steven; Frankopan, Peter; Garretsen, Harry; Marrewijk, Charles Van","Cambridge Journal of Regions, Economy & Society",Oxford University Press / USA,GEOPOLITICS; SILK Road; SUPPLY chains,,
"New Zealand's China -- past, present and future.","McKinnon, John",New Zealand International Review,New Zealand Institute of International Affairs,AMBASSADORS; NEW Zealand -- Foreign relations; CHINA -- Foreign relations -- 1976-; CHINA -- Politics & government; NEW Zealand -- Politics & government,,"The article discusses the changing basis of relationship between New Zealand and China. The author explores his experience of studying Chinese language in Hong Kong, working in the New Zealand embassy in Beijing, and being a New Zealand ambassador to China. He relates how the relationship of two countries started. He also calls on the New Zealand government to be transparent and consistent in dealings with China."
"Nicholas R. Lardy, ed., The State Strikes Back: The End of Economic Reform in China: (Washington D.C.: Peterson Institute for International Economics, 2019), 164 pp, $23.95.","Sullivan, Lawrence R.",Journal of Chinese Political Science,Springer Nature,"ECONOMIC policy; ECONOMIC reform; CHINA; 2000-; NONFICTION; STATE Strikes Back: The End of Economic Reform in China, The (Book); LARDY, Nicholas R.",,
"NicolasTackett, The Origins of the Chinese Nation: Song China and the Forging of an East Asian World Order. Cambridge: Cambridge University press, 2017 xix + 328 pp. £26.99 (pbk).","Ichijo, Atsuko",Nations & Nationalism,Wiley-Blackwell,"NATIONALISM -- History; SONG dynasty, China, 960-1279; NONFICTION; ORIGINS of the Chinese Nation: Song China & the Forging of an East Asian World Order, The (Book); TACKETT, Nicolas",,
No Country for the Low-end? −An Intersectional Analysis of the Status of Migrant Women Workers as Domestic Helpers and Relevant Laws in China.,"Peng, Qinxuan",International Journal on Minority & Group Rights,Brill Academic Publishers,WOMEN migrant labor; PUBLIC officers; WOMEN'S rights; CHINA; INTERSECTIONALITY; HOUSEHOLD employees; TABOO; DOMESTIC markets,China; Hukou – domestic helpers; intersectionality; low-end population; migrant women workers,"'Low-end population', which refers to people working in low-paid industries in China, has become a taboo word for public discussions and in official documents due to the inconvenient truth it indicates. To look into the 'low-end' society, this study uses intersectionality theory to analyse how the social categories of gender, social origin and occupation creates overlapped disadvantages for migrant women workers as domestic helpers in China. Before, little attention has been paid to these invisible building blocks of the great economic success of China, hence the multiple inequalities they have experienced in their lives and work are untold stories. Using intersectionality analysis, the study describes in detail the status of migrant women workers as domestic helpers. It further introduces Chinese laws and policies on Hukou regulation, on women's rights and on regulating the domestic service market, with a conclusion of the concrete problems faced by this group of people."
No Questions Asked? Development and the Paradox of China's Africa Policy.,"BATTY, FODEI",Insight Turkey,Insight Turkey,INTERNATIONAL relations; AUTHORITARIANISM; POLITICAL systems; DICTATORS; INFRASTRUCTURE (Economics); INTERNATIONAL trade; ECONOMIC development,,"This paper argues that China's strategy of engaging African countries through its stated ""no questions asked"" foreign policy could ultimately be counter-productive for Chinese interests on the continent. Whereas the policy allows China to engage Africa's authoritarian dictators and democrats alike as it invests in energy, infrastructure, mining, and other projects without many restraints or preconditions; opposition groups across the continent have seized upon its presumed support for unpopular incumbent regimes to stir opposition to China among Africa's masses during recent elections. Unless China's policymakers modify their Africa policy, China's investments in Africa are ironically producing the conditions of development, such as the proliferation of cheap cellphone technology and an expanding African middle class, alongside increasingly dissenting voices over their strategy and presence in Africa."
Nominalism: Negotiating ethnicity and Christian identity in contemporary Yunnan.,"ELAZAR, GIDEON",Modern Asian Studies,Cambridge University Press,PROTESTANTS; PROTESTANTISM; ETHNICITY; CHRISTIAN missionaries; MISSIONARIES -- China; RELIGIOUS aspects; CONVERSION to Christianity; IDENTITY (Philosophical concept),,"This article deals with the convergence of ethnicity and faith in the context of Christian Yunnan. Contemporary Evangelical missionaries working in Yunnan encourage the preservation of ethnic markers while attempting to create a form of 'pristine faith': a religiosity that severely limits the role of ethnicity in the construction of identity, emphasizing instead individualism and globalism—processes that may be beneficial for the Chinese state. My discussion here revolves around the distinction made by many Evangelical Christians in China between 'true' faith, based on an individual experience of salvation and rebirth, and 'nominal' faith, a traditional understanding of religion as an identity that is acquired at birth. Thus, minority Christians whose ancestors converted en masse prior to the 1949 revolution and retain a distinctly ethnic form of religiosity are often labelled 'nominal' by contemporary missionaries and converts. In contrast, the latter represent a faith that stems from personal experience and belongs to a global and transnational community, transcending the narrow limits of ethnic culture."
Non‐Governmental Monitoring of Local Governments Increases Compliance with Central Mandates: A National‐Scale Field Experiment in China.,"Anderson, Sarah E.; Buntaine, Mark T.; Liu, Mengdi; Zhang, Bing","American Journal of Political Science (John Wiley & Sons, Inc.)","John Wiley & Sons, Inc.",CENTRAL-local government relations; NONGOVERNMENTAL organizations; AUTHORITARIANISM; POLLUTION -- Government policy; MASS media; CITIZENS; LEGAL compliance; LOCAL government; ENVIRONMENTAL policy; CHINA; CHINA -- Politics & government -- 2002-,,"Central governments face compliance problems when they rely on local governments to implement policy. In authoritarian political systems, these challenges are pronounced because local governments do not face citizens at the polls. In a national‐scale, randomized field experiment in China, we test whether a public, non‐governmental rating of municipal governments' compliance with central mandates to disclose information about the management of pollution increased compliance. We find significant and positive treatment effects on compliance after only one year that persist with reinforcement into a second post‐treatment year. The public rating appears to decrease the costs of monitoring compliance for the central government without increasing public and media attention to pollution, highlighting when this mode of governance is likely to emerge. These results reveal important roles that nonstate actors can play in enhancing the accountability of local governments in authoritarian political systems."
Non-traditional security cooperation between China and south-east Asia: implications for Indo-Pacific geopolitics.,"Gong, Xue",International Affairs,Oxford University Press / USA,GEOPOLITICS; INTERNATIONAL relations; GREAT powers (International relations); INTERNATIONAL security; INTERNATIONAL cooperation; INDO-Pacific Region; ASEAN; CHINA -- Foreign relations,China; Indo-Pacific; international security; Non-traditional security; south-east Asia,"The 'free and open Indo-Pacific' (FOIP) strategy, actively promoted by the United States with support from its allies and partners, is a significant geopolitical response to China's growing power and expanding influence in Asia and beyond. Beijing has adopted various new strategies to cope with the challenges related to FOIP. One of these strategies is to secure a robust relationship with south-east Asia in order to make these regional states either neutral to or less supportive of the Indo-Pacific vision. In addition to economic statecraft and soft power, Beijing believes that it can also tap into the domain of non-traditional security (NTS) to strengthen relations with this region to position itself better in the intensifying regional geopolitical competition. The article addresses the following question: what is the impact of China's NTS cooperation with south-east Asia on Beijing's geopolitical rivalry with other major powers in the Indo-Pacific region? The article argues that China's NTS cooperation with south-east Asian countries may help China maintain its geopolitical standing in the region, but it is unlikely to lead to any dramatic increase of China's strategic influence in the region. This essentially means that Beijing may be able to prevent ASEAN or most ASEAN member states from lending substantive and strong support to the Indo-Pacific construct, but it will not be able to stop ASEAN states from supporting some elements of the FOIP."
"Norm-making, norm-taking or norm-shifting? A case study of Sino–Japanese competition in the Jakarta–Bandung high-speed rail project.","Kratz, Agatha; Pavlićević, Dragan",Third World Quarterly,Taylor & Francis Ltd,INTERNATIONAL competition; INFRASTRUCTURE (Economics); INDONESIA; OECD countries; HIGH speed trains; JAPAN -- Foreign relations; CHINA -- Foreign relations; SOCIAL norms,China; global order; infrastructure financing; international development; OECD; rising powers,"This paper's main aim is to contribute to the debate on the impact of China's rise on the established norms and practices in the field of international development. To do so, it zooms in on a single infrastructure project, the Jakarta-Bandung high-speed rail line, which involved intense competition between China and Japan. Specifically, it examines how competition between China, a non-Western emerging power, and Japan, an OECD member, led to a recalibration of both China and Japan's approaches to infrastructure financing in the region. The findings suggest that rather than straight convergence or competition between diverging models, there is an ongoing process of two-way adjustment between China, and representatives of the dominant global norms and practices. We also argue that to understand the implications of China's participation in the field of international development, and its impact on the 'rules of the game' of global governance, researchers should avoid positioning inquiries within the premises of China's one-directional impact on the development assistance regime. Rather, it is necessary to take into account a complex set of relationships including China, host countries and other 'socialised' actors, and the process of negotiation between them."
North America.,,Strategic Survey,Taylor & Francis Ltd,INVESTOR-state arbitration; GOVERNMENT policy; ECONOMICS; CAPITALISM; NORTH America; OPEN data movement; UNITED States Congressional elections; BUSINESS skills; NORTH American Free Trade Agreement (NAFTA),,"Since the book's publication in 2017, Chinese President Xi Jinping and US President Donald Trump have often seemed to be playing the roles assigned to them in the Thucydidean tragedy, while Henry Kissinger has endorsed the concept of the Thucydides Trap as the best lens through which to examine the US-China relationship. Since his election, US President Donald Trump has pursued a campaign pledge to replace the North American Free Trade Agreement (NAFTA) with a ""better deal"". The Trump administration inherited the TPA 2015 negotiation authority from Obama and did not request a new grant of congressional authority, even though Republicans controlled both the House of Representatives and the Senate in the 115th Congress elected with Trump in 2016. Trump was not the first presidential candidate to call for its renegotiation or cancellation; in every presidential election since 1992, at least one presidential candidate has campaigned against NAFTA (Ross Perot in 1992 and 1996, Ralph Nader in 2000 and 2004, Barack Obama in 2008 and 2012, Hillary Clinton and Trump in 2016)."
North Korea in 1956: reconsidering the August Plenum and the Sino-Soviet joint intervention.,"Person, James F.",Cold War History,Taylor & Francis Ltd,"COLD War, 1945-1991; FACTIONALISM (Politics); CHINA -- Foreign relations -- Soviet Union; KIM, Il-song, 1912-1994; PENG, Dehuai, 1898-1974",Anastas Mikoyan; factionalism; Kim Il Sung; North Korea; Peng Dehuai; personality cult; purges,"The year 1956 was one of the most pivotal in the history of the North Korean party-state. It marked the end of political diversity and the decline of Soviet and Chinese influence on political, economic, and cultural developments in North Korea. Two incidents in particular, the August Plenum of the Korean Workers' Party, and the joint Sino-Soviet party intervention in a domestic dispute that September, propelled North Korea down the path toward despotism and isolation. Scholars have long suggested that North Korean leader Kim Il Sung faced serious and potentially perilous challenges to his position at the helm of the party-state during these two incidents. Utilising newly available Soviet and Chinese records, this paper challenges the standard narratives of the incidents, and asserts that there was no great threat to Kim's position, either from domestic opposition, or from intervening Soviet and Chinese officials. A fuller understanding of the events of 1956, and of North Korea's construction of a narrative to justify political repression, enables us to better comprehend the nature of the Kim Il Sung regime and its troubled relations with its patron allies throughout the remainder of the Cold War era."
North Korea’s Artificial Intelligence (A.I.) Program.,Tai Wei Lim,North Korean Review,"McFarland & Company, Inc.",NORTH Korea; UNITED Nations; ARTIFICIAL intelligence; HIGH performance computing; ENGLISH language writing; INDUSTRY 4.0; DEVELOPMENTAL programs,Artificial Intelligence; development DPRK; Eunbyul; Industry 4.0,"Purpose—The purpose of this paper is to examine the progress of North Korea’s Artificial Intelligence (A.I.) program and analyze its impact. In studying the North Korean example, three important and significant ideas are examined. First, a concerted highly centralized state-sponsored A.I. development program is able to overcome resource scarcity and skills deficiency by mobilizing the entire state’s resources behind the program’s development. Second, states have discovered the enormous potential of A.I. Even those that have an impoverished economy (like North Korea) are prepared to institute an expensive A.I. development program. Third, while A.I. is often discussed in the context of advanced economies (especially the U.S. and its leading technologies) and rapidly developing and emerging economies like China, the A.I. program of other smaller economies, including those perceived to be lagging, are often de-privileged in such analyses. Design, Methodology, Approach—This review essay and commentary tries to address gaps in the literature and hopes to provide insights into North Korea’s A.I. development through interpretive work, media reports and comparative analyses with A.I. developmental programs in other countries. A caveat is the secretive nature of North Korea and that it does not often have open and transparent public sharing of its strategic programs. Thus, secondary sources can only make conjectures, projections, observations, informed speculation and guesswork based on multiple sources that are corroborated to the best of the compiler’s ability. Findings—Even as the state pools together its maximum resources, however, there are limitations to the North Korean A.I. development program. A major problem is the acquisition of equipment that cannot be produced indigenously, given the presence of United Nations (UN) economic sanctions and the high costs of high performance computing and other equipment. Practical Implications—This writing is useful for North Korea watchers. It raises awareness of the topic of A.I. development in the reclusive country, and presents an interesting and value-added topic to examine an unconventional country’s unconventional objectives and priorities in A.I. development. Imagine the potential that can be unleashed for North Korea by giving up its nuclear weaponry and ballistic missile programs. North Korean A.I. development, when connected with the rest of the world, can take off even faster, judging by its promising start despite limitation of resources. North Korea may even enjoy being a latecomer (latecomer’s advantage) as it incorporates the latest technologies into its infrastructure and has access to lessons learned by earlier precedents. Even with scarce resources, North Korea has overcome challenges to produce cutting-edge A.I. algorithms like Eunbyul. one can only imagine the contributions talented North Korean programmers and coders can make to the local and global Industry 4.0 if they are provided with more resources and access to the global body of knowledge. Originality, Value—Very little has been written on this topic in the English language, beyond a handful of media reports. It is a de-privileged and under-studied topic in North Korean studies, despite its important implications."
Northeast Asian Perspectives on China's Belt Road Initiative: the View from South Korea.,"Hwang, Balbina Y.",East Asia: An International Quarterly,Springer Nature,"SOCIAL stability; BELT & Road Initiative; INTERNATIONAL relations; SOUTH Korea; CHINA; MOON Jae-in; PARK, Geun-hye, 1952-",Belt and road initiative; Eurasia initiative; New southern policy; South Korea,"This article examines South Korea's response to BRI, focusing on former President Park Geun-hye's ""Eurasia Initiative"" as well as current President Moon Jae-In's ""New Southern Policy."" Given Beijing's preoccupation with political and social stability both domestically as well as in neighboring countries, it argues that there is little doubt that for Beijing economic goals are subordinate components of broader national goals, which in turn formulate the basis for geopolitical calculations. BRI represents an attempt by Beijing's leadership to shape the rules and norms governing the surrounding regions to better reflect their own preferences. Following Xi Jinping's launch of BRI, Seoul announced the Eurasia Initiative (EAI) as its own vision for an East-West connection. In calling for a revival of the ancient Silk Road, President Park's main goal was to foster a flow of economic, political, and social interaction from Europe though the Korean Peninsula. Her policy was driven primarily by political and security motives concerning the division of the Peninsula. Park's successor, President Moon announced his own foreign policy initiative, the New Southern Policy (NSP), which seeks to strengthen relations with Southeast Asia while continuing to manage relations with Northeast Asia. While NSP at first sight might suggest a new policy direction, the article argues that both EAI and NSP ultimately have sought to change dynamics on the Korean Peninsula and work toward peace with the North. Both policies reflect the Korean fear of vulnerability to great power competition, seeking to foster relations with smaller powers so as to increase Seoul's foreign policy leverage as a middle power."
